Proposed standard spelling for our dataset (MK),Term,English,spelling variations,in our dataset? y/n,in 2ndary glossaries y/n,Description,object type,fiber type,color,how color applied,pattern,weave type,quality,Source Location?,Exported to:,(in purple): modifiers from our data (full text),modifier: color,modifier: pattern,modifier: place,modifier: fiber,modifer: quality,modifier: size,modifier: other or unknown,Category,Subcategory,Piece size,Image:,Notes
,jafarkani,,chafarcani,n,y,"RP: Indian cotton print in two colors only, which therefore needs just two planches for the printing and is considered a cheap variety (sole definition)",textile,cotton,,printed,,plainweave,cheap,,,,,,,,,,,,,,,
jamawars,jamawars,,jammerjaars,y,y,"silk brocade according to several, but one calls this flowered chintz",textile,silk,,,,brocade,,I1966: Northeast India: Malda-Kasimbazar area,,,,,,,,,,piece goods,,I1966: 10 yards by 1/8th broad,,
jamdani,jamdanies,,jamdannes,y,y,"definitions vary: floral brocade or discontinuous weave of spots and flowers, muslin, cotton or silk; our dataset suggests an alternate term: floral dourissen; also, comparing VOC src_00014 with BGB, there is a numerical match with missing douriassen",textile,cotton; cotton/silk,white,white,N/A,plainweave and embroidered or supplementary weft,,I1966: Northeast India: Bengal,"I1966: England, in small quantities from the 1670s onwards",none,,,,,,,,textile,,,,
japon?,japonse zijde rocken,,,y,n,kimonos? Robes?,textile/garment,silk,,,,,high,,,Japonese silk,,,Japan,silk,,,,finished piece,,,,
,japon,,,y,n,robe/dress (is this the same as japonse zjide rok?),textile/garment,,,,,,,,,persian,,,Persia,,,,,finished piece,,,,
,jeckandames,,yeckandames,n,y,I1966: painted cotton dopatta,textile,cotton,,painted,,,,I1966: South India/Coromandel Coast,I1966: Siam,,,,,,,,,garment,,,,
,jelolsies,,,n,y,"I1966: cotton cloth, both plain and flowered (definitions agree)",textile,cotton,,plain (undyed and unbleached?),N/A; floral,,,I1966: Northeast India: Bengal,,,,,,,,,,textile,,,,
,jorians,,joories,n,y,"I1966: plain white calico, same as baftas, but different region, as a replacement for the Gujarat market after famine of 1630",textile,cotton,white,white,N/A,plainweave,varies,"I1966: Northwest India: Sind: Naosarpur, Darbelo, and Kandiaro","I1966: London after 1630s, east central Africa",,,,,,,,,textile,,,,
juffer,juffer,,,y,n,?,textile/unclear,,,,,,,,,,,,,,,,,,,,,
,kadjangmat,,,,,palm leaf mat - so not a textile,not textile,palm leaves,,,,,,,,,,,,,,,,not textile,,,,
,kain,,kain gulung,n,y,generic term for cloth - suggestion that this the same as govers or even cannikens,textile,,,,,,,,,,,,,,,,,,,,,
?,kaketoe stoffjes,,,y,n,stuffed birds? listed consistently as a silk textile on the carga lists,textile,silk,,,,,,,,,,,,,,,,,,,,
,kalamkari,,chintz,,,see CHINTZ,,,,,,,,,,,,,,,,,,,,,,
camlet,kamelot,,,y,y,see CAMLET,,,,,,,,,,,,,,,,,,,,,,
?,kamizoolsknoop,,silver,y,n,button?,garment accessory,,,,,,,,,,,,,,,,,clothing accessory,,,,
?,kammerdoek,,,y,n,?,textile/unclear,,,,,,,,,,,,,,,,,industrial?,,,,
cannekins,kannekyns,,"Cannekyns, Kanekyns, Canequin, Kannekiens, Canekins, kannekijns",y,y,see CANNEKINS,,,,,,,,,,,,,,,,,,,,,,
lace,kant,,,y,n,lace,garment accessory,,,,,,,,,gold and silver,,,,,,,,,,,,
?,kardoesgaren,,,y,n,?,yarn,,,,,,,,,,,,,,,,,,,,,
karicams,karicams,,,y,y,"simple red or blue plain cloth, mostly from Gujarat (three definitions that are almost word-for-word)",textile,,red; blue,"piece-dyed (solid, single color)",,,,Gujarat,,"(groot) rood surats, groot/klein rood, rood, ",red,,Surat,,,"large (groot), small (klein)",,,,,,
?,karldoek,,,y,n,?,textile/unclear,,,,,,,,,"grauw, hollands",gray,,Holland,,,,,industrial?,,,,
carpet,karpetten,carpets,carpetten,n,y,see CARPETS,,,,,,,,,,,,,,,,,,wool carpet,,,,"Vijf: cost: 10-16 gulden per stuck, based on size; sale price 16, 20-25 per piece"
cotton,kattoen,,katoen,y,y,see COTTON,,,,,,,,,,,,,,,,,,fiber,cotton,,,
,keeses,,"kestes, quesos, khes",n,y,"I1966: thick cotton cloth dopatta garment, double warps and wefts, patterned in elaborate check in usually blue and white, but sometimes other combos like red and green; and they are reversible",textile/garment,cotton,varies,colored threads (loom-patterned),check,double warp and weft,,I1966: Northwest India,,,,,,,,,,garment,,,https://collections.vam.ac.uk/item/O449502/khes-unknown/,
,kente cloth,,,n,y,Asante Kingdom patterned cloth of silk or silk and cotton,textile,cotton/silk; silk,multiple,colored threads (loom-patterned),,,,,,,,,,,,,,,,,,
,kersey,,"karsaai, carsay",n,y,wool cloth named for Kersey in Suffolk (is this the same as kiermanse wol?),textile,wool,,,,,,,,,,,,,,,,,,,,
,keryabads,,,n,y,"I1966: a good quality plain white calico, of great length and breadth (single definition)",textile,cotton,white,white,N/A,plainweave,good,I1966: Uttar Pradesh: Sitapur Dt: Khairabad,I1966: England,,,,,,,,,textile,,I1966: great length and breadth,,
,khasas,,,n,y,high-quality Bengal muslins (Sangar - one definition) is this related to cassa/caffa? or cossaes?,textile,cotton,,,,,high,,,,,,,,,,,,,,,
?,kiermanse wol,x wool,Kirmans wol,y,n,?,textile,wool,,,,,,,,Persian,,,Persian,,,,,wool (yarn? Textile?),,,,
?,kleed,,,y,n,clothing -- too generic,,,,,,,,,,,,,,,,,,,,,,
,knoop,,,n,n,button?,garment accessory,,,,,,,,,,,,,,,,,clothing accessory,,,,
,kombaars,,,n,y,"rough wollen clothing, worn by soldiers and sailors (VOC glossarium - only definition)",textile/garment,,,,,,,,,,,,,,,,,,,,,
stockings,kousen,,,y,n,stockings,garment accessory,,,,,,,,,"cotton (coast), silk (Bengals)",,,"coast, Bengal","silk, cotton",,,,finished piece,,,,
?,krip,,,y,y,wool or silk woven textile that has been processed in water (do they mean felting?),textile,silk; wool,,,,,,,,,,,,,,,,,,,,
?,kroonrassen,,,y,,see CROONRASSEN,,,,,,,,,,,,,,,,,,,,,,
kumitir,kumitir,batik cloth,"committer, kumitir",y,y,Javanese Batik cloth (VOCgp66),textile,,,painted,,,,Java (Indonesia),,"kust, oud bloemwerk, Pulicats",,,"coast, Pulicat",,,,oud bloemwerk,textile,,,,
,lacorijns,,"lacowries, lechouris, lochorys",y,y,unclear from definitions,textile,,,,,,,,,Bengals,,,Bengals,,,,,,,,,
,laken,,,y,y,"generic term for cloth, sheets, linens, also not to be confused with laquerwear",textile,,,,,,,,,"geel, groen, scharlakenrood, zwart, gouden, silver, Perzisch/Surats, goudgeel, donkerblauw, (karmozijn) rood, zeepwit","yellow, green, scarlet, gold, silver, golden yellow, dark blue, carmine, white (zeepwit)",,"Persia, Surat",,,,,textile,,,,
,lakenrassen,,,y,n,? How does it relate to laken?,textile/unclear,,,,,,,,,none,,,,,,,,,,,,
,lamfer,,,y,n,?,textile/unclear,,,,,,,,,,,,,,,,,,,,,
,lancols,,,n,y,printed cotton cloth from Golconda (one definition),textile,cotton,,printed,,,,,,,,,,,,,,,,,,
,lankins,,,n,y,top quality Chinese silk textile (one definition),textile,silk,,,,,high,,,,,,,,,,,,,,,
,lansoll,,lauzolls,n,y,"I1966: subcategory of ginghams, of wider breadth (two identical definitions)",textile,cotton; cotton/silk,,colored threads (loom-patterned),,plainweave,,I1966: South India/Coromandel Coast,I1966: Siam,,,,,,,,,textile,,I1966: broader than ginghams,,
,legaturen,,,n,y,"VijfpCIV: silk and wool cloth, like brocade",textile,silk/wool,,,,brocade,,Haarlem and Leiden,,,,,,,,,,textile,,,,"Vijf: cost 12 per piece, sale price 20 gulden"
,legia,,"charwary, karvary, khervari",y,y,the best quality Persian silk (VOC-glossarium),fiber,silk,,,,,,,,,,,,,,,,,,,,
,lhymenias,,"lheimenias, lemmanees, lhoemenias, lhymenias, limeneas",y,y,"VOCgp69: blue linens (lijnwaden) with white stars; Alpern: a fine, striped cloth (definitions don't agree as to pattern)",textile,,,colored threads (loom-patterned),stripe,plainweave,,European or Gajarat,,,,,,,,,,textile,,,,
,lijn,,,y,n,?,unclear,,,,,,,,,wit,white,,,,,,,,,,,
,lijnwaad,linen cloth,"lijwaet. Lijn, lint (?), linen (European), lywaeten, linnen",y,y,"European-made linen, but can also be a generic name for textiles (for example, catoene lijwaten)",textile,linen,,,,,,"Europe: Holland, Haarlem, French, Rouen, Silesia, Osnabruck, Hesian",,"bleached, half-bleached, striped, blue, Rouhessens=unbleached","bleached, half-bleached, blue, unbleached (raw?)",striped,Netherlands,,,,,textile,,,,Vijf: cost c. 7 stuiver per el; sold for 10-15 stuiver per el; and other exchanges and notes
,lint,,,y,n,?,unclear,,,,,,,,,gold and silver,gold and silver,,,,,,,,,,,
,lochorias,,"lochoris, lochorys",n,y,cloth used in Pattena for printing into chintz (one definition),textile,cotton,white,N/A,N/A,,,,,,,,,,,,,,,,,
,londres,,,n,y,felted woolen cloth from France,textile,wool,,,,plainweave felted,,,,,,,,,,,,,,,,
,longcloth,longcloth,"longuins, NOT the same as lungee/longijs",n,y,plain white or piece dyed cotton cloth of great length,textile,cotton,white; blue; red,"N/A; piece-dyed (solid, single color)",N/A,plainweave,varies,"I1966: South India/Coromandel Coast: first in Golcanda, and later in Madras area",,,,,,,,,,textile,,I1966: 37 yards long; RP agrees,,
,longijs,,lungees,y,y,"a smaller cloth, sometimes called a handkerchief, that is large enough to be worn as either a headwrap or a lower body wrap",textile,cotton; silk,,,,,,,,Kust,,,coast,,,,,,,,,
,luckhowries,,"laycowries, ambertees",n,y,"I1966: synonym for ambertees (superior grade white cloth), named for the principle market place for this textile: Lakhawar, in Gaya District (single definition)",textile,,white,white,N/A,plainweave,superior,I1966: India: Bihar,,,,,,,,,,textile,,,,
,maaypootsen,,"maeypoosten, maypoost, maeypoosten",y,y,VOC glossarium: woven cloth from Bengal,textile,,,,,,,Bengal,,,,,,,,,,,,,,
,mabessebanys,,,n,n,?,textile/unclear,,,,,,,,,,,,,,,,,,,,,
,machairen,,,n,y,low-quality woolen textile,textile,wool,,,,,low,,,,,,,,,,,,,,,
,madafons,,"madaphons, of allegias sabanys",y,y,"described as striped or checked, with various sources in India, one says it was exported to the Malay Archipelago",textile,,,colored threads (loom-patterned),stripe; check,,,"I1966: South India/Coromandel Coast, mostly Golcanda and Madras State",I1966: Malay archipelago,gemeene gebleekte,bleached,,,,common,,,textile,,,,
,madaphons of alegias sabanys,,"madaphonts, madafanums, madafoenes",n,n,"VOCgp71, 21: Madaphonts is fine cotton sheets (doeken), named for the state Madapollam; Allegias is fine doeken from Turkestan, made either of silk or of silk/cotton blend",textile,cotton,,,,plainweave,fine,Madapollam,,common bleached,bleached,,,,common,,,textile,,,,
,maddawanijs,,maddawanijs-boreh,n,y,"cotton cloth, maybe named after a place, it could also be called maddawanijs-boreh, which implies it was yellow",textile,cotton,yellow (maybe),,solid (single color),,,,,,,,,,,,,,,,,
,madops,,,y,,? is this madafons?,,,,,,,,,,,,,,,,,,,,,,
,madras,,,n,y,"Jerde136: there are currently strict rulings that madras cloth must come from the region of Madras, India - fine cotton on hand looms, in plain weave with plaid, stripe, or check pattern, dyed with vegetable material -- though there are also many imitations of this material -- MK: not clear whether this term was used historically?",textile,cotton,,colored threads (loom-patterned),stripe; check,plainweave,,,,,,,,,,,,textile,,,,
,mallemolens,,"Malmals, mallemollen, mulmull, mollmol, malemolens",y,y,"VOCp71: muslin cloth (stoffen), from Hindustani; I1966: a fine muslin, often embroidered with floral motifs for the English market",textile,cotton,,supplemental thread,N/A; floral,plainweave and embroidered,fine,Hindustani: I1966: Northeast India: Bengal,"I1966: England, for petticoats","bengal, effen, gebloemd, fijn Bengals, Santipur",,floral,Bengal,,fine,,"effen, Santipur",textile,,,Image: Cat 76 in Peck 2013 is made of this,Image: Cat 76 in Peck 2013 is made of this
,mamcedys,,,y,n,?,,,,,,,,,,,,,,,,,,,,,,
,mamoedys,,,y,n,?,,,,,,,,,,,,,,,,,,,,,,
,mandilla,,"mundilla, maybe also mundeels (unless that's another textile)",n,y,"I1966: striped fabric of mixed silk and cotton, usually colorful",textile,cotton/silk,,colored threads (loom-patterned),stripe,plainweave,,"I1966: Northeast India, from Malda-Kasimbazar area","I1966: England, end of 17th century",,,,,,,,,textile,,,,
,meanaes,,,n,y,I1966: silk cloth from Sind (two similar definitions),textile,silk,,,,,,I1966: Northwest India: Sind,I1966: Persia,,,,,,,,,textile,,,,
,mentasses,,montassies,n,y,"I1966: gold cloth with colored designs on the surface, sometimes called enameled fabrics",textile,metal and ?,gold,,,,high,"I1966: Northwest India, mainly in Cambay area",I1966: Malay archipelago,,,,,,,,,textile,,,,
,mercoolees,,merculees,n,y,"I1966: good plain white calico, sometimes used as base for chintz",textile,cotton,white,white,N/A,plainweave,good,I1966: North India: Jaipur and Lucknow area,I1966: London,,,,,,,,,textile,,,,
,mesolany,,,n,y,"strong cloth made with half linen, half wool (one definition)",textile,linen/wool,,,,,,,,,,,,,,,,,,,,
,milmils,,milmils,y,n,"could be malemolens, but this already covered",textile,,,,,,,,,,,,,,,,,textile,,,,
,moelisjaar,,,y,n,?,textile/unclear,,,,,,,,,,,,,,,,,,,,,
,moenemolam,,,y,n,"related to malmal? Periemoenemolam? related to malmal? note: in VOC src_00014 compared to the BGB data for the same ships, there is an exact match in numbers for this with catches periemoenemolen/moenemolen, so maybe they are all one category... in src_00004, it could also be the case, but the numbers aren't an exact match",textile/unclear,,,,,,,,,"raw, Tuticorins, bleached","raw, bleached",,Tuticorins,,,,,,,,,
,moghtazijde,,,n,y,see FLORETTE GAREN,yarn,silk,,,,N/A,,,,,,,,,,,,fiber,silk,,,
,moiré,,,y,,,,,,,,,,,,,,,,,,,,,,,,
,mohuanies,,,n,n,,textile/unclear,,,,,,,,,,,,,,,,,,,,,
,mohunbanies,,,y,n,?,textile/unclear,,,,,,,,,enkele,,,,,,,single (enkele),,,,,
,muga,,herba,n,y,"I1966: wild silk that is shinier than Tussur, and bright yellow",yarn,silk,yellow,,,N/A,,"I1966: Northeast India, especially Assam",,,,,,,,,,fiber,silk,,,
,muris,,"Mourissen, mouris, muris",y,y,"I1966: staple cotton cloth, superior quality, Europeans like as a substitute for linen, also for base of chintz; RP agrees",textile,cotton,white,plain (undyed and unbleached?),solid (single color),plainweave,superior,"I1966: South India/Coromandel Coast, chiefly Masulapatam, but also Madras area",I1966: Europe as substitute for linen,"white or blue, fijn, fijn breed (bleached), fijn/gemeen bleached coast, (fijn/grof/gemeen) bleached (Pulicats), (fine) coast, (fine) smal bleached, red, red coast, ruw, gemeen, ","white, blue, bleached, red, raw",,"coast, Pulicats",,"fine, common, rough (grof)","wide, narrow",,textile,,I1966: about 9 yards by 1 yard 8 inches (RP agrees),,"Vijf: cost 13 gulden, sale 19-20 gulden"
,muslins,,,n,y,"plainweave cotton textile, often thin, varying qualities, SEE MALMAL",textile,cotton,,,,plainweave,varies,,,,,,,,,,,,,,,
,muttfoons,,"matafons, muftoons",n,y,"I1966: low-grade checkered calico, not mentioned after 1650",textile,cotton,,colored threads (loom-patterned),check,plainweave,low-grade,"I1966: Northwest India, mainly at Cambay",I1966: Malay archipelago,,,,,,,,,textile,,,,
,naaigaren,,,y,n,sewing thread?,yarn,,,,,,,,,"gekleurd, Hollands",colored,,Holland,,,,,yarn,,,,
,naaizijde,,,y,n,?,unclear,,,,,,,,,,,,,,,,,,,,,
,nainsooks,,"nansooks, nyansooks",n,y,"I1966: plain cotton cloth of superior quality, there is also a silk cloth in imitation of this; used for neckerchiefs",textile,cotton,,plain (undyed and unbleached?),N/A,plainweave,superior,I1966: Northeast India,,,,,,,,,,textile,,,,
,nankeens,,,n,y,"Chinese plain-weave cotton, of a naturally yellowish hue (Peck2013); RP: by 1780 they are also made in Lancashire; a hard-wearing fabric used for pockets, stockings, as well as sails",textile,cotton,,undyed,solid (single color),plainweave,,China,America,,,,,,,,,textile,,16 yards by 1 yard,,
,narrenconders,,,n,y,"cotton cloth from the Coromandel coast (Hartkamp-Jonxis, single definition)",textile,cotton,,,,,,Coromandel Coast,,,,,,,,,,,,,,
,neckjes of golmandels,,nekjes,y,n,same as nickanees?,textile,,,,,,,,,,,,,,,,,,,,,
,neganipauts,,,n,y,"striped or checked, maybe blue and white, maybe cotton or cotton/silk (only two definitions but not very clear, seems to be Africa trade)",textile,cotton; cotton/silk,blue/white,colored threads (loom-patterned),stripe; check,,,,Africa,,,,,,,,,,,,,
,negro kleden,,"negros kleden, negroskleed, plains",y,y,"clothes for slaves; RP: white, green, or blue cheap woolens, woven in Wales or West Country of England, or cheap cottons in checks and stripes - the definitions don't agree",textile,cotton; wool,varies,"colored threads (loom-patterned); piece-dyed (solid, single color)",stripe; check; solid (single color),plainweave,low,,,,,,,,,,,textile or finished good?,,,,
,nehallewars,,,n,y,I1966: striped fabric of mixed cotton and silk (only one definition),textile,cotton/silk,,colored threads (loom-patterned),stripe,plainweave,,"I1966: Northeast India: Bengal, Malda-Kasimbazar area",,,,,,,,,,textile,,,,
,neusdeuken,Handkerchiefs,"bandannoes, choppas",y,y,Crill p.165: a sheet could have up to 12 to be cut out (there are also variations for the African (Madras handkerchief) and Asian markets (rumal)),textile/handkerchief,cotton; silk,,,,plainweave,,Bengal,,"painted, English style, enkele",,painted,,,,,"English-style, enkele (single?)",handkerchief,,,,
,nickanees,,"necanias, niquanias, nekanees, necquaniassen, might be included under guinea cloths, neckjes?, nicqurias, nicanees, nicqurnias",y,y,"Cotton cloth, white with blue stripes, cheap and maybe coarse or medium quality I1966: cheap striped calico, patterned on the loom, chiefly for slave markets; VOCgp81: blue and white striped cotton cloths (doeken); Crill p 80 striped from Gajurat; Crill p149 cheap cotton",textile,cotton,,colored threads (loom-patterned),stripe,plainweave,cheap to medium,"I1966: Northwestern India: Broach and Baroda; VOCg?: Coromandel, Ghajurat","I1966: slave market; Alpern: used for skirts, extremely popular in Africa","grof, surats, groot, lang, nieuw modese",,,Surat,,coarse,"large, long",nieuw modese,textile,,,,
,nillaes,,,n,y,"I1966: striped cloth of mixed Tussur silk and cotton, occasionally flowered, all different colors but the name means blue",textile,cotton/silk,,colored threads (loom-patterned),striped; striped/floral,plainweave,,I1966: Northeast India: Bengal,"I1966: Europe, esp. last quarter of 17th century",,,,,,,,,textile,,,,
,noppen,,,n,y,"VijfpCVI: sheet (laken) made in Haarlem with white wool dots or spots; Collenbrander 187: linen fabric with or without stripes, from Haarlem; 39 or 48 cm wider in early 17th c; silk noppen were 43 cm wide",textile,linen/wool; silk,,"colored threads (loom-patterned); piece-dyed (solid, single color)",stripe; dots; sold (single color),,,Haarlem,,,,,,,,,,textile,,,,Vijf: cost 16 gulden
,Norwich stuff,,,n,y,"general term for worsted wool textile from Norwich, England",textile,wool,,,,,,,,,,,,,,,,,,,,
,osnaburg,,,n,y,unbleached linen named for Osnabruck (Germany) but also made elsewhere in Europe,textile,linen,unbleached,N/A,N/A,plainweave,,"Europe (originally Osnabruck, Germany)",,,,,,,,,,,,,,
,otisaal,,,y,n,VOC glossarium says a type of Bethilles,textile,cotton,,,,,,,,bleached,bleached,,,,,,,,,,,
,paantje,,"panje, paan",n,y,"linen or cotton cloth (lap), but could also be a unit (as in '4 panje broals')",textile or unit,cotton; linen,,,,,,,Africa (VOC glossarium,,,,,,,,,,,,,
,pakgaren,,,y,n,? Yarn,yarn,,,,,,,,,tot afpakking/emballeren,,,,,,,,packing,,,,
,pakieuws,,,y,n,?,textile/unclear,,,,,,,,,kust,,,coast,,,,,,,,,
,paktouw,,pactouw,y,y,"a trade item brought on ships by seafarers (VOC-glossarium, the least helpful definition ever)",unclear,,,,,,,,,,,,,,,,,,,,,
,palempore,,"palemposh, palampore, pallampore, palempuris",n,y,"I1966: bed cover, usually implies chintz (definitions are consistent)",textile/finished,cotton,,painted; printed,,plainweave,,"I1966: India, but term comes from Persian and Hindi",I1966: Europe,,,,,,,,,finished piece,,,,
,pangsjes,,"pangsis, panches",n,y,VOCgp86: silk cloths (doeken) from China,textile,silk,,,,,,Chinese,,witte geblomde Chinese,white,floral,Chinese,,,,,textile,,,,
,panos pretos,,pièces de Guinée,n,y,"Riello/Parth: cotton cloths woven in strips, pieced together, and then piece dyed in indigo",textile,cotton,blue/black (indigo),"piece-dyed (solid, single color) and pieced together",,plainweave,,Guinea Coast hinterland,traded along upper Guinea Coast,,,,,,,,,,,,,
,passement,,,y,y,lace,garment accessory,,,,,,,,,"gold, gold and silver","gold, gold/silver",,,,,,,,,,,
,patchery,,,n,y,"means doubled or a pair, came to mean a double-broad piece of textile (a specific kind of textile?) (VOC-Glossarium)",textile/unclear,,,,,,,,,,,,,,,,,,,,,
,patola,,patholen,y,y,"double-ikat - the threads are dyed in patterns before weaving to produce a pattern, in this case both the weft and warp",textile,silk,multiple,colored threads (loom-patterned),double-ikat,plainweave,,"I1966: Northwest India, especially Patan, northeast of Ahmedabad",I1966: Malay archipelago,"cotton, silk (van X asta - a size?), silk Surats, ",,,Surat,"cotton, silk",,,,textile,,"I1966: depends on market, the largest pieces were commissioned",,
,patta,,"patta charu malayu (Malay style), patta macasser (Makassar-style), petas, puttee, pattas, peettas, patta katuynem",n,y,"I1966: cheap dyed cotton cloth, usually striped, but varies depending on the market (Patta chara malayu for Malay; patta macasser for Makassar)",textile,cotton,multiple,"colored threads (loom-patterned); piece-dyed (solid, single color)",stripe; solid (single color),plainweave,cheap,I1966: South India/Coromandel Coast,"I1966: Malay, Makassar, etc (probably all Asia?)",,,,,,,,,textile,,,,
,pattamaraphoe,,patta maroepoe (patta from Coromandel),y,n,See PATTA - Hartkamp-Jonxis says this is a type from Coromandel,textile,cotton,multiple,colored threads (loom-patterned),,plainweave,cheap,,,"coast, Pulicats",,,"Pulicats, coast",,,,,,,,,
,patteni,,,n,y,"the best quality raw, unworked silk (VOC-glossarium)",fiber,silk,,N/A,N/A,N/A,best,,,,,,,,,,,,,,,
,pautka,,"pautkeys, patkas",n,y,"I1966: calicos, probably available in white, blue, or brown, for slave traders; Alpern: white or blue coarse cotton fabric - SEE DONGRIS (is this a variety?!)",textile,cotton,,"piece-dyed (solid, single color); undyed",solid (single color),plainweave,coarse,I1966: Northwest India,I1966: slave market,,,,,,,,,textile,,,,
,pek,,,y,n,?,unclear,,,,,,,,,,,,,,,,,,,,,
,pelangs,,"peling, pelam, pelongs, peelong, pelinghs, poulongs",y,y,"VOCgp89: silk-like cloth (stof) from Indian subcontinent and China, but mostly from Tonkin; the process by which it is dyed is currently called pelangi or plangi",textile,silk,multiple,,,damask?,,"India or China, but mostly from Tonkin",,Toncquinse (indicates it's from Tonkin),,,Tonkin,,,,,textile,,,,
,peniascoes,,,n,y,"I1966: brightly colored fabric, probably mixed cotton and silk, usually striped, exported in small quantities at end of 17th century (different from pinasse)",textile,cotton/silk?,,colored threads (loom-patterned),stripe,plainweave,,I1966: Northeast India,,,,,,,,,,textile,,,,
,percallen,,"parcallen, percallaes, paricals, percallas, parcals",y,y,"Thick-woven white cotton cloth from India. VOCgp87: thick woven cotton cloth (lappen), usually white; I1966: high-grade plain cotton cloth, fineness, regularity of weave, durable, this kind of calico was best suited for chintz, could be bought in white but also sometimes red; RP: closely woven, sort of fine white cambric (note that Sangar's definition is way different)",textile,cotton,white,N/A,N/A,closely woven,,"I1966: South India/Coromandel Coast, mostly Golcanda and Madras State",,"gebleekte (Bengals/coast), blue, blue coast/Pulicats, bruin blue coast, brown blue, fine bleached (coast), gemeen bleached (Coromandels/coast/Pulicats), gemeen bleached coast, red, red coast, rouwe/ruw, ruw coast","bleached, blue, brown blue, red, raw",,"Bengal, coast, Pulicat, Coromandel",,"fine, common",,,textile,,I1966: 8 x 1 yards,,
,peroemoenemolam,,periemoenemolam,y,n,related to malmal?,textile/unclear,,,,,,,,,"ruw Tuticorins, bleached, ","raw, bleached",,Tutcorins,,,,,,,,,
,perpetuanen,,"perpets, peroupaets",y,y,"Thick wool fabric made in England, Flanders, Holland, dyed blue, red, green, and sometimes yellow, brown, purple. VijfpCVII: a fine wool cloth of high quality; Jones: a serge made in Flanders, Holland, and SW England; finely woven and fairly durable, and dyed (green blue red etc), esp. for the African trade (worsted - which is about the yarn)",textile,wool,blue; red; green; yellow; brown; purple,"piece-dyed (solid, single color)",solid (single color),twill,high,"Holland, Flanders, England",popular in Africa,"green, blue, (scharlaken) red","green, blue, scarlet",,,,,,,textile,,,,"Vijf: Africans cut them into thin strips and use as belts; cost: 40 gulden, sold for 64 gulden"
,persians,,,n,y,"lightweight plainweave silk, a kind of taffeta",textile,silk,,,,plainweave,,,,,,,,,,,,,,,,
,photaes,,"fautahs, photas, fotas, photassen, fotassen, fauteh",y,y,"I1966: loincloth of dyed calico, usually blue and white; Alpers adds striped or checked; VOCgp91: strong cloth with woven checks; RP: ordinary cotton calico",textile,cotton,blue/white,colored threads (loom-patterned),stripe; check,plainweave,,I1966: Northwest India; Hindustan,I1966: East and West Indies,"(fijn) bengals, zonder hoofden",,without edges (zonder hoofden),Bengal,,fine,,,garment,,,,
,pijlaken,,boratten,y,y,coarse woollen cloth,textile,wool,,,,,coarse,,,,,,,,,,,,,,,
,pinasse,,pinasse-gingham,y,y,"strong cloth woven from pineapple plant fibers, or this fiber can be mixed with cotton in a gingham (different from peniascoes)",textile,pineapple fiber,,,,,,,,cors (bengals),,,Bengal,,,,cors,,,,,
,pitcharies,,"pachedi, pichodi (21st century equivalent), pichoris",n,y,"I1966: colored calicoes; if they are same as what is now called pachedi, they are white, red, blue, or maroon, with plain borders and wide cross-borders",textile,cotton,white; red; blue; maroon,"piece-dyed (solid, single color) with borders (supplemental thread?)",solid (single color) with borders,plainweave,,I1966: Northwest India,I1966: Malay archipelago,,,,,,,,,textile,,,,
,platillas,,,n,y,"fine white linen made first in Silesia, then in Hamburg, Flanders, and Germany",textile,linen,white,N/A,N/A,,fine,Europe: Silesia and Flanders/Germany,,,,,,,,,,,,,,
,poisee,,powee,n,y,English term for Chinese satin with painted floral motifs (Peck),textile,,multiple,painted,floral,satin,,,,,,,,,,,,,,,,
,polemiten,,"see also camlet, barkan",y,y,"strong plain cloth, originally made with camel's wool and thus also called camelot (VOC-glossarium)",textile,,,,,,,,,none,,,,,,,,,,,,
,poleng,,,n,y,"VOC-glossarium: MK doesn't quite understand. This is a descriptor for cloth, maybe it means checkered in Javanese? Striped in the warp?",textile,,,,,,,,,,,,,,,,,,,,,
,poelangobars,,,y,n,?,,,,,,,,,,,,,,,,,,,,,,
,pommerijs,,pamri,n,y,VOC-glossarium: pricey silk or half-silk cloth used for turbans,textile,silk; half-silk,,,,,fine,,,,,,,,,,,,,,,
,poortlaken,,,y,n,?,textile,,,,,,,,,met de kast,,,,,,,,industrial?,,,,
,populees,,"popilles, popely, popelij, might be included under guinea cloths",n,y,"I1966: cheap checkered calico, patterned in the loom; others define it as a silk/cotton blend (silk warp, cotton or floretzijde weft)",textile,cotton; cotton/silk; silk,,colored threads (loom-patterned),check,plainweave,cheap,I1966: Northwest India,I1966: slave market,,,,,,,,,textile,,,,
,pulicat,,pullicat,n,y,RP: silk handkerchiefs made in India,textile/handkrchief,silk,red (maybe),,,,,India,,,,,,,,,,textile,,,,
,quaqua cloth,,Q.qua kleeden,n,y,"strip cloth of cotton, sewn together, both plain or loom-patterned pieces",textile,cotton,varies,"colored threads (loom-patterned); piece-dyed (solid, single color)",,plainweave,,,,,,,,,,,,,,,,
,quilts,,,n,y,embroidered cloth or blockprinted,textile/finished,,,printed; supplemental thread,,,medium to fine,,,,,,,,,,,,,,,
,ramboetin,,rambuti,n,y,"hairy' cotton cloth, could be cut from Guinee cloth or salampuris (?) (MK: like terry cloth?)",textile,cotton,white,plain (undyed and unbleached?),solid (single color),,,,,,,,,,,,,,,,,
